cell_type	product_name	dose	n_cells	n_sig_deg
A549	2-Methoxyestradiol (2-MeOE2)	10.0	171	1315
A549	2-Methoxyestradiol (2-MeOE2)	100.0	165	1638
A549	2-Methoxyestradiol (2-MeOE2)	1000.0	188	1600
A549	2-Methoxyestradiol (2-MeOE2)	10000.0	140	1537
A549	(+)-JQ1	10.0	144	1672
A549	(+)-JQ1	100.0	158	2187
A549	(+)-JQ1	1000.0	190	2848
A549	(+)-JQ1	10000.0	191	2972
A549	A-366	10.0	249	673
A549	A-366	100.0	222	971
A549	A-366	1000.0	177	1305
A549	A-366	10000.0	249	614
A549	ABT-737	10.0	196	1237
A549	ABT-737	100.0	214	986
A549	ABT-737	1000.0	185	1333
A549	ABT-737	10000.0	148	1717
A549	AC480 (BMS-599626)	10.0	197	955
A549	AC480 (BMS-599626)	100.0	169	1262
A549	AC480 (BMS-599626)	1000.0	221	1132
A549	AC480 (BMS-599626)	10000.0	222	1419
A549	AG-490 (Tyrphostin B42)	10.0	191	1213
A549	AG-490 (Tyrphostin B42)	100.0	237	998
A549	AG-490 (Tyrphostin B42)	1000.0	185	1487
A549	AG-490 (Tyrphostin B42)	10000.0	200	1264
A549	AG-14361	10.0	240	876
A549	AG-14361	100.0	226	838
A549	AG-14361	1000.0	162	1477
A549	AG-14361	10000.0	184	806
A549	AICAR (Acadesine)	10.0	253	1025
A549	AICAR (Acadesine)	100.0	196	1109
A549	AICAR (Acadesine)	1000.0	231	844
A549	AICAR (Acadesine)	10000.0	255	892
A549	AMG-900	10.0	151	1211
A549	AMG-900	100.0	145	1500
A549	AMG-900	1000.0	130	1473
A549	AMG-900	10000.0	165	896
A549	AR-42	10.0	200	1288
A549	AR-42	100.0	207	1834
A549	AR-42	1000.0	147	3220
A549	AR-42	10000.0	110	4082
A549	AT9283	10.0	85	1733
A549	AT9283	100.0	51	2400
A549	AT9283	1000.0	119	1161
A549	AT9283	10000.0	88	1131
A549	AZ 960	10.0	169	1329
A549	AZ 960	100.0	225	856
A549	AZ 960	1000.0	194	1079
A549	AZ 960	10000.0	118	1389
A549	AZD1480	10.0	198	996
A549	AZD1480	100.0	193	1219
A549	AZD1480	1000.0	152	1753
A549	AZD1480	10000.0	118	1711
A549	Abexinostat (PCI-24781)	10.0	183	1249
A549	Abexinostat (PCI-24781)	100.0	187	1937
A549	Abexinostat (PCI-24781)	1000.0	181	3072
A549	Abexinostat (PCI-24781)	10000.0	136	3750
A549	Alendronate sodium trihydrate	10.0	226	882
A549	Alendronate sodium trihydrate	100.0	150	1377
A549	Alendronate sodium trihydrate	1000.0	159	1855
A549	Alendronate sodium trihydrate	10000.0	181	1569
A549	Alisertib (MLN8237)	10.0	143	1597
A549	Alisertib (MLN8237)	100.0	101	1812
A549	Alisertib (MLN8237)	1000.0	108	1886
A549	Alisertib (MLN8237)	10000.0	74	2348
A549	Altretamine	10.0	246	686
A549	Altretamine	100.0	304	804
A549	Altretamine	1000.0	272	810
A549	Altretamine	10000.0	222	972
A549	Alvespimycin (17-DMAG) HCl	10.0	224	967
A549	Alvespimycin (17-DMAG) HCl	100.0	118	2815
A549	Alvespimycin (17-DMAG) HCl	1000.0	83	4208
A549	Alvespimycin (17-DMAG) HCl	10000.0	94	3628
A549	Aminoglutethimide 	10.0	243	671
A549	Aminoglutethimide 	100.0	192	1071
A549	Aminoglutethimide 	1000.0	244	766
A549	Aminoglutethimide 	10000.0	210	965
A549	Amisulpride	10.0	224	913
A549	Amisulpride	100.0	187	1236
A549	Amisulpride	1000.0	223	914
A549	Amisulpride	10000.0	213	819
A549	Anacardic Acid	10.0	244	636
A549	Anacardic Acid	100.0	209	1035
A549	Anacardic Acid	1000.0	223	901
A549	Anacardic Acid	10000.0	248	708
A549	Andarine	10.0	236	749
A549	Andarine	100.0	214	994
A549	Andarine	1000.0	218	1048
A549	Andarine	10000.0	262	694
A549	Aurora A Inhibitor I	10.0	217	946
A549	Aurora A Inhibitor I	100.0	126	1895
A549	Aurora A Inhibitor I	1000.0	157	1600
A549	Aurora A Inhibitor I	10000.0	132	1506
A549	Avagacestat (BMS-708163)	10.0	200	1177
A549	Avagacestat (BMS-708163)	100.0	205	1057
A549	Avagacestat (BMS-708163)	1000.0	207	920
A549	Avagacestat (BMS-708163)	10000.0	202	1112
A549	Azacitidine 	10.0	173	1328
A549	Azacitidine 	100.0	224	1192
A549	Azacitidine 	1000.0	201	1269
A549	Azacitidine 	10000.0	151	2155
A549	BMS-265246	10.0	214	1069
A549	BMS-265246	100.0	224	1180
A549	BMS-265246	1000.0	177	1207
A549	BMS-265246	10000.0	130	1668
A549	BMS-536924	10.0	183	1184
A549	BMS-536924	100.0	192	1238
A549	BMS-536924	1000.0	166	1500
A549	BMS-536924	10000.0	122	2754
A549	BMS-754807	10.0	171	1551
A549	BMS-754807	100.0	201	1243
A549	BMS-754807	1000.0	156	1803
A549	BMS-754807	10000.0	135	1884
A549	BMS-911543	10.0	77	3147
A549	BMS-911543	100.0	141	1649
A549	BMS-911543	1000.0	191	1330
A549	BMS-911543	10000.0	119	2246
A549	BRD4770	10.0	246	601
A549	BRD4770	100.0	192	1505
A549	BRD4770	1000.0	207	998
A549	BRD4770	10000.0	231	942
A549	Barasertib (AZD1152-HQPA)	10.0	148	1206
A549	Barasertib (AZD1152-HQPA)	100.0	122	1391
A549	Barasertib (AZD1152-HQPA)	1000.0	107	1694
A549	Barasertib (AZD1152-HQPA)	10000.0	100	1546
A549	Baricitinib (LY3009104, INCB028050)	10.0	198	920
A549	Baricitinib (LY3009104, INCB028050)	100.0	207	895
A549	Baricitinib (LY3009104, INCB028050)	1000.0	185	1160
A549	Baricitinib (LY3009104, INCB028050)	10000.0	241	636
A549	Belinostat (PXD101)	10.0	170	1449
A549	Belinostat (PXD101)	100.0	216	1243
A549	Belinostat (PXD101)	1000.0	190	2620
A549	Belinostat (PXD101)	10000.0	98	4309
A549	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	10.0	209	1032
A549	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	100.0	160	1583
A549	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	1000.0	160	1537
A549	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	10000.0	23	12385
A549	Bosutinib (SKI-606)	10.0	225	1091
A549	Bosutinib (SKI-606)	100.0	242	762
A549	Bosutinib (SKI-606)	1000.0	216	1098
A549	Bosutinib (SKI-606)	10000.0	216	1520
A549	Busulfan 	10.0	244	765
A549	Busulfan 	100.0	215	821
A549	Busulfan 	1000.0	218	1143
A549	Busulfan 	10000.0	211	1209
A549	CEP-33779	10.0	207	836
A549	CEP-33779	100.0	252	721
A549	CEP-33779	1000.0	231	1122
A549	CEP-33779	10000.0	204	1051
A549	CUDC-101	10.0	254	1010
A549	CUDC-101	100.0	201	1220
A549	CUDC-101	1000.0	194	1544
A549	CUDC-101	10000.0	140	2928
A549	CUDC-907	10.0	202	1910
A549	CUDC-907	100.0	159	2266
A549	CUDC-907	1000.0	146	3200
A549	CUDC-907	10000.0	57	5467
A549	CYC116	10.0	198	903
A549	CYC116	100.0	181	1086
A549	CYC116	1000.0	137	1579
A549	CYC116	10000.0	117	1500
A549	Capecitabine 	10.0	223	1053
A549	Capecitabine 	100.0	250	753
A549	Capecitabine 	1000.0	226	801
A549	Capecitabine 	10000.0	205	1036
A549	Carmofur	10.0	233	1005
A549	Carmofur	100.0	258	790
A549	Carmofur	1000.0	193	634
A549	Carmofur	10000.0	144	1845
A549	Cediranib (AZD2171)	10.0	244	1042
A549	Cediranib (AZD2171)	100.0	217	898
A549	Cediranib (AZD2171)	1000.0	174	1510
A549	Cediranib (AZD2171)	10000.0	148	2465
A549	Celecoxib	10.0	232	721
A549	Celecoxib	100.0	158	1507
A549	Celecoxib	1000.0	190	1171
A549	Celecoxib	10000.0	222	923
A549	Cerdulatinib (PRT062070, PRT2070)	10.0	212	1152
A549	Cerdulatinib (PRT062070, PRT2070)	100.0	229	1071
A549	Cerdulatinib (PRT062070, PRT2070)	1000.0	222	1091
A549	Cerdulatinib (PRT062070, PRT2070)	10000.0	167	1007
A549	Cimetidine 	10.0	229	743
A549	Cimetidine 	100.0	195	986
A549	Cimetidine 	1000.0	156	1232
A549	Cimetidine 	10000.0	126	1450
A549	Clevudine 	10.0	260	666
A549	Clevudine 	100.0	200	1063
A549	Clevudine 	1000.0	213	955
A549	Clevudine 	10000.0	238	795
A549	Costunolide	10.0	227	1020
A549	Costunolide	100.0	220	1020
A549	Costunolide	1000.0	212	1020
A549	Costunolide	10000.0	227	830
A549	Crizotinib (PF-02341066)	10.0	200	1209
A549	Crizotinib (PF-02341066)	100.0	198	1204
A549	Crizotinib (PF-02341066)	1000.0	217	824
A549	Crizotinib (PF-02341066)	10000.0	114	2468
A549	Curcumin	10.0	216	979
A549	Curcumin	100.0	207	1178
A549	Curcumin	1000.0	203	1118
A549	Curcumin	10000.0	244	899
A549	Cyclocytidine HCl	10.0	206	742
A549	Cyclocytidine HCl	100.0	162	1222
A549	Cyclocytidine HCl	1000.0	151	1061
A549	Cyclocytidine HCl	10000.0	149	1860
A549	Dacinostat (LAQ824)	10.0	200	2113
A549	Dacinostat (LAQ824)	100.0	152	3194
A549	Dacinostat (LAQ824)	1000.0	108	3900
A549	Dacinostat (LAQ824)	10000.0	99	4283
A549	Danusertib (PHA-739358)	10.0	201	1017
A549	Danusertib (PHA-739358)	100.0	134	1478
A549	Danusertib (PHA-739358)	1000.0	126	2102
A549	Danusertib (PHA-739358)	10000.0	102	2155
A549	Daphnetin	10.0	238	685
A549	Daphnetin	100.0	254	830
A549	Daphnetin	1000.0	225	1034
A549	Daphnetin	10000.0	213	863
A549	Dasatinib	10.0	223	1433
A549	Dasatinib	100.0	189	1871
A549	Dasatinib	1000.0	147	2611
A549	Dasatinib	10000.0	154	2587
A549	Decitabine	10.0	158	1488
A549	Decitabine	100.0	63	3661
A549	Decitabine	1000.0	165	1681
A549	Decitabine	10000.0	168	1332
A549	Disulfiram 	10.0	240	715
A549	Disulfiram 	100.0	186	1126
A549	Disulfiram 	1000.0	236	686
A549	Disulfiram 	10000.0	230	819
A549	Divalproex Sodium	10.0	145	2113
A549	Divalproex Sodium	100.0	157	1427
A549	Divalproex Sodium	1000.0	106	2376
A549	Divalproex Sodium	10000.0	138	1443
A549	Droxinostat	10.0	202	752
A549	Droxinostat	100.0	236	796
A549	Droxinostat	1000.0	238	919
A549	Droxinostat	10000.0	214	1022
A549	EED226	10.0	144	1942
A549	EED226	100.0	150	1514
A549	EED226	1000.0	200	1215
A549	EED226	10000.0	167	1541
A549	ENMD-2076	10.0	242	855
A549	ENMD-2076	100.0	229	1045
A549	ENMD-2076	1000.0	159	1703
A549	ENMD-2076	10000.0	129	2084
A549	ENMD-2076 L-(+)-Tartaric acid 	10.0	143	1509
A549	ENMD-2076 L-(+)-Tartaric acid 	100.0	235	1072
A549	ENMD-2076 L-(+)-Tartaric acid 	1000.0	154	1785
A549	ENMD-2076 L-(+)-Tartaric acid 	10000.0	96	2249
A549	Ellagic acid	10.0	133	1967
A549	Ellagic acid	100.0	91	2489
A549	Ellagic acid	1000.0	209	1163
A549	Ellagic acid	10000.0	165	1570
A549	Entacapone	10.0	225	821
A549	Entacapone	100.0	218	1016
A549	Entacapone	1000.0	218	910
A549	Entacapone	10000.0	211	882
A549	Entinostat (MS-275)	10.0	277	807
A549	Entinostat (MS-275)	100.0	216	1060
A549	Entinostat (MS-275)	1000.0	244	863
A549	Entinostat (MS-275)	10000.0	199	2912
A549	Enzastaurin (LY317615)	10.0	133	1664
A549	Enzastaurin (LY317615)	100.0	166	1406
A549	Enzastaurin (LY317615)	1000.0	195	1136
A549	Enzastaurin (LY317615)	10000.0	193	1506
A549	Epothilone A	10.0	87	2717
A549	Epothilone A	100.0	64	4570
A549	Epothilone A	1000.0	53	4387
A549	Epothilone A	10000.0	109	1484
A549	FLLL32	10.0	166	1424
A549	FLLL32	100.0	125	1833
A549	FLLL32	1000.0	174	1323
A549	FLLL32	10000.0	154	1286
A549	Fasudil (HA-1077) HCl	10.0	168	1446
A549	Fasudil (HA-1077) HCl	100.0	179	1171
A549	Fasudil (HA-1077) HCl	1000.0	160	1730
A549	Fasudil (HA-1077) HCl	10000.0	184	1026
A549	Fedratinib (SAR302503, TG101348)	10.0	216	827
A549	Fedratinib (SAR302503, TG101348)	100.0	193	1178
A549	Fedratinib (SAR302503, TG101348)	1000.0	171	1720
A549	Fedratinib (SAR302503, TG101348)	10000.0	90	3218
A549	Filgotinib (GLPG0634)	10.0	247	638
A549	Filgotinib (GLPG0634)	100.0	256	806
A549	Filgotinib (GLPG0634)	1000.0	181	1180
A549	Filgotinib (GLPG0634)	10000.0	230	1061
A549	Flavopiridol HCl	10.0	193	692
A549	Flavopiridol HCl	100.0	119	3011
A549	Flavopiridol HCl	1000.0	116	2616
A549	Flavopiridol HCl	10000.0	120	2443
A549	Fluorouracil (5-Fluoracil, 5-FU)	10.0	210	1065
A549	Fluorouracil (5-Fluoracil, 5-FU)	100.0	208	1243
A549	Fluorouracil (5-Fluoracil, 5-FU)	1000.0	199	862
A549	Fluorouracil (5-Fluoracil, 5-FU)	10000.0	160	1826
A549	Fulvestrant	10.0	197	1144
A549	Fulvestrant	100.0	214	1017
A549	Fulvestrant	1000.0	184	1333
A549	Fulvestrant	10000.0	252	1045
A549	G007-LK	10.0	191	1186
A549	G007-LK	100.0	164	1604
A549	G007-LK	1000.0	143	1916
A549	G007-LK	10000.0	150	1999
A549	GSK1070916	10.0	129	1307
A549	GSK1070916	100.0	145	1173
A549	GSK1070916	1000.0	123	1771
A549	GSK1070916	10000.0	123	2071
A549	GSK J1	10.0	277	650
A549	GSK J1	100.0	202	1287
A549	GSK J1	1000.0	218	1101
A549	GSK J1	10000.0	219	983
A549	GSK-LSD1 2HCl	10.0	206	945
A549	GSK-LSD1 2HCl	100.0	209	1260
A549	GSK-LSD1 2HCl	1000.0	216	1068
A549	GSK-LSD1 2HCl	10000.0	239	735
A549	Gandotinib (LY2784544)	10.0	198	1106
A549	Gandotinib (LY2784544)	100.0	242	718
A549	Gandotinib (LY2784544)	1000.0	193	1073
A549	Gandotinib (LY2784544)	10000.0	141	955
A549	Givinostat (ITF2357)	10.0	189	923
A549	Givinostat (ITF2357)	100.0	197	1150
A549	Givinostat (ITF2357)	1000.0	192	2068
A549	Givinostat (ITF2357)	10000.0	129	4089
A549	Glesatinib?(MGCD265)	10.0	227	1110
A549	Glesatinib?(MGCD265)	100.0	203	1109
A549	Glesatinib?(MGCD265)	1000.0	240	1060
A549	Glesatinib?(MGCD265)	10000.0	164	1542
A549	Hesperadin	10.0	113	1609
A549	Hesperadin	100.0	105	2146
A549	Hesperadin	1000.0	121	1938
A549	Hesperadin	10000.0	99	3339
A549	INO-1001 (3-Aminobenzamide)	10.0	167	1695
A549	INO-1001 (3-Aminobenzamide)	100.0	205	1337
A549	INO-1001 (3-Aminobenzamide)	1000.0	204	1465
A549	INO-1001 (3-Aminobenzamide)	10000.0	210	1089
A549	IOX2	10.0	238	747
A549	IOX2	100.0	217	1079
A549	IOX2	1000.0	193	1134
A549	IOX2	10000.0	254	554
A549	ITSA-1 (ITSA1)	10.0	121	2180
A549	ITSA-1 (ITSA1)	100.0	165	1124
A549	ITSA-1 (ITSA1)	1000.0	160	1861
A549	ITSA-1 (ITSA1)	10000.0	162	1558
A549	Iniparib (BSI-201)	10.0	34	5464
A549	Iniparib (BSI-201)	100.0	121	2501
A549	Iniparib (BSI-201)	1000.0	204	1283
A549	Iniparib (BSI-201)	10000.0	45	5156
A549	Ivosidenib (AG-120)	10.0	191	1090
A549	Ivosidenib (AG-120)	100.0	223	988
A549	Ivosidenib (AG-120)	1000.0	116	1856
A549	Ivosidenib (AG-120)	10000.0	69	3772
A549	JNJ-7706621	10.0	176	1143
A549	JNJ-7706621	100.0	183	1142
A549	JNJ-7706621	1000.0	164	916
A549	JNJ-7706621	10000.0	105	1066
A549	JNJ-26854165 (Serdemetan)	10.0	232	895
A549	JNJ-26854165 (Serdemetan)	100.0	206	1259
A549	JNJ-26854165 (Serdemetan)	1000.0	217	1276
A549	JNJ-26854165 (Serdemetan)	10000.0	212	1017
A549	KW-2449	10.0	214	863
A549	KW-2449	100.0	208	1037
A549	KW-2449	1000.0	146	1168
A549	KW-2449	10000.0	93	1279
A549	Ki8751	10.0	273	627
A549	Ki8751	100.0	212	934
A549	Ki8751	1000.0	208	1086
A549	Ki8751	10000.0	239	636
A549	Ki16425	10.0	210	1264
A549	Ki16425	100.0	202	1226
A549	Ki16425	1000.0	216	1045
A549	Ki16425	10000.0	208	1138
A549	Lapatinib (GW-572016) Ditosylate	10.0	262	682
A549	Lapatinib (GW-572016) Ditosylate	100.0	255	872
A549	Lapatinib (GW-572016) Ditosylate	1000.0	227	1231
A549	Lapatinib (GW-572016) Ditosylate	10000.0	124	3392
